clima,temperatura,bicicletas_alugadas
2,0.363625,985
2,0.35373899999999997,801
1,0.189405,1349
1,0.21212199999999998,1562
1,0.22926999999999997,1600
1,0.23320900000000003,1606
2,0.208839,1510
2,0.162254,959
1,0.116175,822
1,0.15088800000000002,1321
2,0.19146400000000002,1263
1,0.160473,1162
1,0.150883,1406
1,0.188413,1421
2,0.248112,1248
1,0.234217,1204
2,0.176771,1000
2,0.23233299999999998,683
2,0.29842199999999997,1650
2,0.25505,1927
1,0.157833,1543
1,0.0790696,981
1,0.09883910000000001,986
1,0.11793,1416
2,0.234526,1985
3,0.2036,506
1,0.2197,431
2,0.22331700000000002,1167
1,0.212126,1098
1,0.250322,1096
2,0.18625,1501
2,0.23453000000000002,1360
2,0.254417,1526
1,0.177878,1550
2,0.22858699999999998,1708
2,0.243058,1005
1,0.291671,1623
1,0.303658,1712
1,0.198246,1530
2,0.144283,1605
1,0.14954800000000001,1538
1,0.213509,1746
1,0.232954,1472
1,0.324113,1589
1,0.39835,1913
1,0.254274,1815
1,0.3162,2115
1,0.428658,2475
1,0.511983,2927
1,0.391404,1635
1,0.27733,1812
2,0.284075,1107
1,0.186033,1450
1,0.24571700000000002,1917
2,0.289191,1807
2,0.350461,1461
1,0.282192,1969
1,0.351109,2402
2,0.400118,1446
1,0.263879,1851
1,0.320071,2134
1,0.200133,1685
2,0.255679,1944
2,0.378779,2077
2,0.366252,605
1,0.238461,1872
1,0.3024,2133
2,0.286608,1891
3,0.385668,623
2,0.305,1977
1,0.32575,2132
1,0.380091,2417
1,0.332,2046
2,0.318178,2056
2,0.36693000000000003,2192
1,0.410333,2744
1,0.5270090000000001,3239
1,0.466525,3117
1,0.32575,2471
2,0.409735,2077
1,0.44064200000000003,2703
2,0.337939,2121
2,0.270833,1865
1,0.256312,2210
1,0.257571,2496
2,0.250339,1693
1,0.25757399999999997,2028
1,0.292908,2425
2,0.29735,1536
3,0.257575,1685
2,0.283454,2227
2,0.315637,2252
1,0.378767,3249
1,0.542929,3115
2,0.39835,1795
1,0.387608,2808
1,0.433696,3141
2,0.324479,1471
2,0.34152899999999997,2455
2,0.426737,2895
2,0.565217,3348
2,0.493054,2034
2,0.417283,2162
1,0.462742,3267
1,0.441913,3126
3,0.425492,795
1,0.445696,3744
1,0.503146,3429
2,0.48925799999999997,3204
1,0.564392,3944
1,0.453892,4189
2,0.321954,1683
2,0.450121,4036
2,0.551763,4191
1,0.5745,4073
1,0.594083,4400
2,0.575142,3872
2,0.578929,4058
1,0.497463,4595
1,0.464021,5312
2,0.448204,3351
2,0.532833,4401
2,0.582079,4451
2,0.40465,2633
1,0.441917,4433
1,0.474117,4608
1,0.512621,4714
1,0.518933,4333
1,0.525246,4362
1,0.522721,4803
1,0.5284,4182
1,0.523363,4864
2,0.4943,4105
2,0.500629,3409
2,0.536,4553
1,0.550512,3958
2,0.538529,4123
2,0.527158,3855
2,0.510742,4575
1,0.529042,4917
1,0.571975,5805
1,0.5745,4660
2,0.590296,4274
2,0.604813,4492
1,0.615542,4978
1,0.654688,4677
1,0.637008,4679
1,0.612379,4758
1,0.61555,4788
1,0.671092,4098
1,0.725383,3982
2,0.720967,3974
1,0.643942,4968
1,0.587133,5312
1,0.594696,5342
2,0.616804,4906
1,0.621858,4548
1,0.65595,4833
1,0.727279,4401
2,0.757579,3915
1,0.703292,4586
1,0.678038,4966
1,0.643325,4460
1,0.601654,5020
1,0.591546,4891
1,0.587754,5180
2,0.595346,3767
1,0.600383,4844
1,0.643954,5119
2,0.645846,4744
2,0.595346,4010
2,0.637646,4835
1,0.693829,4507
2,0.693833,4790
1,0.656583,4991
1,0.643313,5202
1,0.637629,5305
2,0.637004,4708
1,0.692558,4648
1,0.654688,5225
1,0.637008,5515
1,0.652162,5362
1,0.667308,5119
2,0.668575,4649
2,0.665417,6043
1,0.696338,4665
1,0.685633,4629
1,0.686871,4592
2,0.6704829999999999,4040
1,0.664158,5336
1,0.690025,4881
1,0.729804,4086
1,0.739275,4258
1,0.689404,4342
1,0.635104,5084
1,0.624371,5538
1,0.638263,5923
1,0.669833,5302
1,0.703925,4458
1,0.747479,4541
1,0.74685,4332
2,0.826371,3784
1,0.8408959999999999,3387
1,0.804287,3285
1,0.794829,3606
1,0.720958,3840
1,0.696979,4590
1,0.690667,4656
1,0.7399,4390
1,0.785967,3846
1,0.728537,4475
1,0.729796,4302
1,0.703292,4266
1,0.707071,4845
2,0.679937,3574
2,0.664788,4576
1,0.656567,4866
2,0.676154,4294
1,0.715292,3785
1,0.703283,4326
1,0.724121,4602
1,0.684983,4780
1,0.651521,4792
1,0.654042,4905
2,0.645858,4150
2,0.624388,3820
1,0.616167,4338
1,0.645837,4725
1,0.666671,4694
1,0.662258,3805
2,0.633221,4153
1,0.648996,5191
1,0.675525,3873
1,0.638254,4758
1,0.606067,5895
1,0.630692,5130
2,0.645854,3542
1,0.659733,4661
2,0.635556,1115
1,0.6479590000000001,4334
1,0.607958,4634
1,0.594704,5204
1,0.611121,5058
1,0.614921,5115
2,0.604808,4727
1,0.633213,4484
1,0.665429,4940
2,0.625646,3351
3,0.5152,2710
3,0.544229,1996
3,0.555361,1842
2,0.578946,3544
1,0.607962,5345
1,0.609229,5046
1,0.60213,4713
1,0.603554,4763
1,0.6269,4785
2,0.553671,3659
2,0.461475,4760
2,0.478512,4511
1,0.490537,4274
2,0.529675,4539
2,0.532217,3641
2,0.5505329999999999,4352
2,0.554963,4795
2,0.522125,2395
2,0.564412,5423
2,0.572637,5010
2,0.589042,4630
2,0.574525,4120
2,0.575158,3907
1,0.574512,4839
1,0.544829,5202
2,0.41286300000000004,2429
2,0.345317,2918
2,0.392046,3570
1,0.472858,4456
1,0.527138,4826
1,0.480425,4765
1,0.504404,4985
1,0.513242,5409
1,0.523983,5511
1,0.542925,5117
2,0.546096,4563
3,0.517717,2416
2,0.551804,2913
2,0.529675,3644
1,0.498725,5217
1,0.503154,5041
1,0.510725,4570
2,0.522721,4748
3,0.513848,2424
1,0.466525,4195
1,0.42359600000000003,4304
1,0.425492,4308
1,0.422333,4381
1,0.457067,4187
1,0.463375,4687
2,0.472846,3894
2,0.457046,2659
2,0.318812,3747
3,0.227913,627
1,0.321329,3331
1,0.356063,3669
1,0.397088,4068
1,0.390133,4186
1,0.405921,3974
2,0.40339200000000003,4046
1,0.323854,3926
1,0.362358,3649
1,0.400871,4035
1,0.412246,4205
1,0.40907899999999997,4109
2,0.373721,2933
1,0.306817,3368
1,0.357942,4067
1,0.43055,3717
1,0.524612,4486
2,0.507579,4195
3,0.451988,1817
2,0.323221,3053
1,0.272721,3392
1,0.32448299999999997,3663
2,0.457058,3520
3,0.445062,2765
3,0.421696,1607
2,0.430537,2566
1,0.372471,1495
1,0.380671,2792
1,0.385087,3068
1,0.4558,3071
1,0.490122,3867
2,0.451375,2914
1,0.311221,3613
1,0.305554,3727
1,0.331433,3940
1,0.310604,3614
1,0.3491,3485
2,0.393925,3811
3,0.4564,2594
3,0.400246,705
1,0.256938,3322
1,0.317542,3620
1,0.266412,3190
1,0.253154,2743
1,0.270196,3310
1,0.301138,3523
2,0.338362,3740
2,0.41223699999999996,3709
2,0.359825,3577
2,0.249371,2739
1,0.245579,2431
1,0.280933,3403
2,0.396454,3750
2,0.428017,2660
2,0.426121,3068
1,0.377513,2209
1,0.299242,1011
1,0.279961,754
1,0.315535,1317
2,0.327633,1162
1,0.279974,2302
1,0.263892,2423
1,0.318812,2999
1,0.414121,2485
1,0.375621,2294
1,0.252304,1951
1,0.126275,2236
2,0.11933699999999998,2368
1,0.278412,3272
1,0.340267,4098
1,0.390779,4521
1,0.340258,3425
2,0.247479,2376
1,0.318826,3598
2,0.282821,2177
2,0.381938,4097
1,0.249362,3214
1,0.183087,2493
1,0.161625,2311
1,0.190663,2298
2,0.36427800000000005,2935
1,0.275254,3376
1,0.190038,3292
2,0.220958,3163
2,0.174875,1301
2,0.16225,1977
2,0.243058,2432
1,0.349108,4339
1,0.294821,4270
2,0.35605,4075
2,0.415383,3456
1,0.326379,4023
1,0.272721,3243
1,0.262625,3624
1,0.381317,4509
1,0.466538,4579
2,0.398971,3761
1,0.309346,4151
2,0.272725,2832
2,0.264521,2947
1,0.296426,3784
1,0.361104,4375
2,0.266421,2802
1,0.261988,3830
2,0.293558,3831
3,0.210867,2169
1,0.101658,1529
1,0.227913,3422
2,0.333946,3922
1,0.35162899999999997,4169
2,0.330162,3005
1,0.35162899999999997,4154
1,0.355425,4318
2,0.265788,2689
1,0.273391,3129
1,0.295113,3777
1,0.392667,4773
1,0.444446,5062
2,0.41097100000000003,3487
1,0.255675,2732
1,0.268308,3389
1,0.357954,4322
1,0.353525,4363
2,0.34847,1834
1,0.475371,4990
2,0.359842,3194
2,0.413492,4066
1,0.303021,3423
1,0.241171,3333
1,0.255042,3956
1,0.3851,4916
1,0.524604,5382
2,0.397083,4569
1,0.277767,4118
1,0.35967,4911
1,0.459592,5298
1,0.542929,5847
1,0.548617,6312
1,0.532825,6192
2,0.436229,4378
2,0.505046,7836
2,0.46399999999999997,5892
1,0.532821,6153
1,0.538533,6093
2,0.513258,6230
1,0.531567,6871
2,0.570067,8362
2,0.48673299999999997,3372
2,0.437488,4996
1,0.43875,5558
1,0.315654,5102
1,0.47095,5698
1,0.482304,6133
2,0.375621,5459
2,0.42170799999999997,6235
2,0.41728699999999996,6041
1,0.42751300000000003,5936
1,0.461483,6772
1,0.53345,6436
1,0.431163,6457
1,0.39076700000000003,6460
1,0.426129,6857
1,0.492425,5169
1,0.476638,5585
1,0.436233,5918
1,0.33727399999999996,4862
1,0.387604,5409
1,0.43180799999999997,6398
1,0.487996,7460
1,0.573875,7132
1,0.614925,6370
1,0.598487,6691
2,0.457038,4367
1,0.493046,6565
1,0.515775,7290
1,0.542921,6624
3,0.389504,1027
2,0.301125,3214
1,0.405283,5633
1,0.470317,6196
2,0.483583,5026
1,0.452637,6233
2,0.377504,4220
1,0.450121,6304
2,0.457696,5572
2,0.577021,5740
1,0.537896,6169
2,0.537242,6421
1,0.590917,6296
2,0.584608,6883
2,0.546737,6359
2,0.527142,6273
2,0.557471,5728
2,0.553025,4717
1,0.49178299999999997,6572
1,0.520833,7030
1,0.544817,7429
1,0.585238,6118
2,0.5499,2843
2,0.576404,5115
1,0.595975,7424
1,0.572613,7384
1,0.551121,7639
1,0.566908,8294
1,0.583967,7129
2,0.565667,4359
2,0.580825,6073
2,0.584612,5260
1,0.6067,6770
1,0.627529,6734
1,0.642696,6536
1,0.641425,6591
1,0.6793,6043
1,0.672992,5743
2,0.611129,6855
1,0.631329,7338
2,0.607962,4127
1,0.566288,8120
1,0.575133,7641
1,0.578283,6998
2,0.525892,7001
1,0.542292,7055
1,0.569442,7494
1,0.597862,7736
1,0.648367,7498
1,0.663517,6598
2,0.659721,6664
2,0.597875,4972
1,0.611117,7421
1,0.624383,7363
1,0.599754,7665
1,0.594708,7702
1,0.571975,6978
2,0.544842,5099
1,0.654692,6825
1,0.720975,6211
1,0.752542,5905
1,0.724121,5823
1,0.652792,7458
